[2018-05-27 00:25:32] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:25:32] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[51330], devIP[c0a80169]
[2018-05-27 00:25:32] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-27 00:25:32] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:25:32] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-27 00:25:32] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:25:33] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-27 00:25:33] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[342472448]
[2018-05-27 00:25:33] | GigEVisionManager.cpp-L4486: Lost Frame From Net[383], Total Frame Count[384], NetCount[1], CurBlock[384], LastBlock[0]
[2018-05-27 00:25:35] | GigEVisionManager.cpp-L4506: throw frame from list[7], CurFrameNum[392], LastFrame[384]
[2018-05-27 00:25:38] | GigEVisionManager.cpp-L4506: throw frame from list[15], CurFrameNum[401], LastFrame[392]
[2018-05-27 00:25:40] | GigEVisionManager.cpp-L4506: throw frame from list[22], CurFrameNum[409], LastFrame[401]
[2018-05-27 00:25:42] | GigEVisionManager.cpp-L4506: throw frame from list[29], CurFrameNum[417], LastFrame[409]
[2018-05-27 00:25:44] | GigEVisionManager.cpp-L4506: throw frame from list[36], CurFrameNum[425], LastFrame[417]
[2018-05-27 00:26:57] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-27 00:26:57] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:26:57] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:26:57] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[47980], devIP[c0a80169]
[2018-05-27 00:26:57] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-27 00:26:57] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:26:57] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-27 00:26:58] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:26:58] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-27 00:26:58] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-753244416]
[2018-05-27 00:26:58] | GigEVisionManager.cpp-L4486: Lost Frame From Net[444], Total Frame Count[445], NetCount[1], CurBlock[445], LastBlock[0]
[2018-05-27 00:27:01] | GigEVisionManager.cpp-L4506: throw frame from list[8], CurFrameNum[454], LastFrame[445]
[2018-05-27 00:27:03] | GigEVisionManager.cpp-L4506: throw frame from list[15], CurFrameNum[462], LastFrame[454]
[2018-05-27 00:27:05] | GigEVisionManager.cpp-L4506: throw frame from list[22], CurFrameNum[470], LastFrame[462]
[2018-05-27 00:27:07] | GigEVisionManager.cpp-L4506: throw frame from list[29], CurFrameNum[478], LastFrame[470]
[2018-05-27 00:27:09] | GigEVisionManager.cpp-L4506: throw frame from list[37], CurFrameNum[487], LastFrame[478]
[2018-05-27 00:27:12] | GigEVisionManager.cpp-L4506: throw frame from list[45], CurFrameNum[496], LastFrame[487]
[2018-05-27 00:27:14] | GigEVisionManager.cpp-L4506: throw frame from list[52], CurFrameNum[504], LastFrame[496]
[2018-05-27 00:27:16] | GigEVisionManager.cpp-L4506: throw frame from list[60], CurFrameNum[513], LastFrame[504]
[2018-05-27 00:27:19] | GigEVisionManager.cpp-L4506: throw frame from list[68], CurFrameNum[522], LastFrame[513]
[2018-05-27 00:27:21] | GigEVisionManager.cpp-L4506: throw frame from list[75], CurFrameNum[530], LastFrame[522]
